Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPJD00103	JP	METAL SLUG COMPLETE (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0576/NPJD00103_00/YQlEypGXavFeVGdzYZhvQsBjemwJpaeSXLmGNPXyEXGCvGSUpqncxSVVVdJhEprYCrfrxfHZZmgayaqRwEVjSvFcmWfFyBHxdpnjn.pkg	3f16c15833f4477bd9b4848e983cff67	JP0576-NPJD00103_00-0000000000000000	2022-02-01 22:40:04		2646925328	
NPJJ00779	JP	Phix no Daibouken: Phix in the magnetic world (PSX)	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00779_00/JP0747-NPJJ00779_00-0000000000000001_bg_1_de94043496a75046d2db693eb750ab590a254288.pkg	78170f669e953a165268a2d170f303ce	JP0747-NPJJ00779_00-0000000000000001	2022-02-02 15:51:10		129349904	
NPJD00113	JP	Tantei Jinguuji Saburo: Kind of Blue (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0147/NPJD00113_00/uOndfrpHrpEfTjXPNQItXBXpkJjtZYgkXWakrYEANNDYuoQMDElKtTuPzcoKAaJTDRBtVBxRoGFenbhcVgBYPAEVvOzHAKSGrUJGn.pkg	3ef1f84f49590ba671477846f59a7e96	JP0147-NPJD00113_00-0000000000000000	2022-02-01 22:33:07		4000358512	
NPJD00017	JP	Quiz & Variety Sukusuku Inufuku (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0571/NPJD00017_00/kBqiHhQKZGLXsKOBmNEMklTycjvBwVCNymtGSKOpIsYferQIDlYfqlLjumZqIalxDDZsCBloPcHTaqeeKoezKahGzhwXpIXmHjMAT.pkg	d376017ad1016a76ad8f6a388bad9bde	JP0571-NPJD00017_00-0000000000000000	2022-02-01 22:44:01		577671344	
NPJD00099	JP	ART OF FIGHTING ANTHOLOGY (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0576/NPJD00099_00/DBlYmpsrEuSwodiZSgfdAkDztUgmJEQEYryvzCxFHeaoElCGMGUahojbHzpuDBlrNbdGWhstjjuuMheLdUaSPpEtOVQwtYpKtxHFM.pkg	c80f531ef6a7a850d84bb1f138f8521c	JP0576-NPJD00099_00-0000000000000000	2022-02-01 22:41:35		1820983600	
NPJD00112	JP	Tantei Jinguuji Saburou: Innocent Black (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0147/NPJD00112_00/cZfErawVUfLIuuuxAwPnmiJMcnGhXgjoARgHAjsNCjlMFRTaQnJLPcAaitzCSgBgiLapKYCsxySpAdAoUsxSUBwRrEpxYDTAChRFe.pkg	6e4f53d80baa0e9637d3156b5ae73a0e	JP0147-NPJD00112_00-0000000000000000	2022-02-01 22:41:35		3943917568	
NPJJ00589	JP	Strikers 1945 II (PSX)	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00589_00/SsIyJYRdFYPzAltmcdMwEUPIlPKzbMRHXvPwXchVPOOKdNKIaUzhaVrobDRaVXovhLmebMjwtoZwoOBekteiMIxvanpaioOkacteN.pkg	dab320de580ba7010e362aa01e317034	JP0747-NPJJ00589_00-0000000000000001	2022-02-02 15:51:10		184351264	
NPJD00104	JP	FATAL FURY BATTLE ARCHIVES VOL 2 (PS2 Classic)	http://zeus.dl.playstation.net/cdn/JP0576/NPJD00104_00/zWmFcSXZYgPPLVDgVmzHEigCyqnQzqUnkvxhLKnVbFvuKtvIwwGTwzUrfKTcKUKIWavxrQwaQYLPWEYoNmSUpVPxCXiFeQrBvrTfh.pkg	7c99373579f0e5947f001e5f83861bca	JP0576-NPJD00104_00-0000000000000000	2022-02-01 22:44:01		2191958496	
NPJI00006	JP	Global Force: Shin Sentou Kokka (PSX)	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00006_00/1ikfMWl9UGqobdXLdL0MC2aXb6HBHKq9Oatfc1KdeBUVhH8nctylpyPXQHKNmLQgjJMTadtmERkED53EXA5DsPL3XbwRJjCNiFTaC.pkg	e66c4dba5d563ffd810ce0a538a66d1c	JP9000-NPJI00006_00-0000000000000001	2022-02-02 15:51:10		203958240	
NPJI00069	JP	Rapid Racer (PSX)	http://zeus.dl.playstation.net/cdn/JP9000/NPJI00069_00/5mAAsEgaNgc3fumwSawW18bgsspCTtXqlqUtgTcGmI6d0bHbU8uPIQ0sp5MEAHrloSCHPuBquULM07Qom7DW8QrSnd6fcGVFxRRLY.pkg	75fedeb0b180fb272ba313dc77ef171f	JP9000-NPJI00069_00-0000000000000001	2022-02-02 15:51:10		150545520	
