Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
BLUS30192	US	Call of Duty: World at War (Alt Server) (PS3CV)	https://archive.org/download/call-of-duty-world-at-war-ps-3/Call_of_Duty_World_at_War_PS3.pkg	MISSING	UP0189-BLUS30192_00-CODWAWGAMEPS3		11853578240	11853578240
SLUS20932	US	Mercenaries - Playground of Destruction (PS2CV)	https://www.dropbox.com/scl/fi/0jj0flylbu6vkr8bfi25a/Mercenaries-Playground-of-Destruction-PS2-Classics-Vault-PS2-Classics-SLUS20932.pkg?rlkey=csv9k63r2ampuxfdnr4unh3uv&dl=1	MISSING	UP0000-SLUS20932_00-MPODPS2		4731707392	4731707392
SLUS20934	US	Tekken's Nina Willams In: Death By Degrees (PS2CV)	https://www.dropbox.com/scl/fi/vfg8csorpe3qkzj4nufjy/Tekken-s-Nina-Williams-In-Death-by-Degrees-PS2-Classics-Vault-PS2-Classics-SLUS20934.pkg?rlkey=7wrkcj3cnh90s0nglx21oly65&dl=1	MISSING	UP0000-SLUS20934_00-DEATHBYDEGREESPS2		4215525376	4215525376
SLUS20677	US	XIII (PS2CV)	https://www.dropbox.com/scl/fi/vrwepre8fo66nyfdr1mgg/XIII-PS2-Classics-Vault-PS2-Classics-SLUS20677.pkg?rlkey=usjrlywbk528r2wjv58p9cjpb&dl=1	MISSING	UP0000-SLUS20677_00-XIIIPS2		2586693632	2586693632
SCUS97584	US	Syphon Filter - Logan's Shadow (PS2CV)	https://www.dropbox.com/scl/fi/k4fljxcrn9belakrrtjnb/Syphon-Filter-Logan-s-Shadow-PS2-Classics-Vault-PS2-Classics-SCUS97584.pkg?rlkey=f2rzlavoww7awvl8hw9t4l3c0&dl=1	MISSING	UP0000-SCUS97584_00-SYPHONFILTERLSPS2		4442660864	4442660864
SCUS97362	US	Syphon Filter - Dark Mirror (PS2CV)	https://www.dropbox.com/scl/fi/u17uajkv9m79jxofbsf1e/Syphon-Filter-Dark-Mirror-PS2-Classics-Vault-PS2-Classics-SCUS97362.pkg?rlkey=nabyle4hpcfj0vuxxyyki97bf&dl=1	MISSING	UP0000-SCUS97362_00-SYPHONFILTERDMPS2		4131262464	4131262464
SLUS21854	US	Coraline (PS2CV)	https://www.dropbox.com/scl/fi/moih8bqo81v5cuvqkihcp/Coraline-PS2-Classics-Vault-PS2-Classics-SLUS21854.pkg?rlkey=eld2r2budeu788e1axoy7dvnj&dl=1	MISSING	UP0000-SLUS21854_00-CORALINEPS2		4677185536	4677185536
KSPY09415	US	Undertale (PS2CV)	https://www.dropbox.com/scl/fi/ffaz3fqijjgsoyggq0dlm/Undertale.pkg?rlkey=2eozrvpfer1qymgfqmv0qax8c&dl=1	MISSING	BR8102-KSPY09415_00-UNDERTALEPS3		155566080	155566080
SLUS20167	US	Quake 3 - Revolution (PS2CV)	https://www.dropbox.com/scl/fi/vnmhbizn8imei3op4zv62/Quake-3-Revolution-PS2-Classics-Vault-PS2-Classics-SLUS20167.pkg?rlkey=rszo5ronkuxl1637ppmk3henk&dl=1	MISSING	UP0000-SLUS20167_00-QUAKE3REVOLUTIONPS2		770555904	770555904
SCUS97654	US	Motorstorm - Arctic Edge (PS2CV)	https://www.dropbox.com/scl/fi/bno1oige6ijmxxvnn5xab/Motorstorm-Arctic-Edge-PS2-Classics-Vault-PS2-Classics-SCUS97654.pkg?rlkey=8h3pv60mdjtvrfmusrk4klir5&dl=1	MISSING	UP0000-SCUS97654_00-MSARCTICEDGEPS2		2345664512	2345664512
SLUS20940	US	Yu-Gi-Oh! - Capsule Monster Coliseum (PS2CV)	https://www.dropbox.com/scl/fi/t0fzkw1zc4xtdrknatur0/Yu-Gi-Oh-Capsule-Monster-Coliseum-PS2-Classics-Vault-PS2-Classics-SLUS20940.pkg?rlkey=6oetcif7wkfiuwvvk1zr1rgf1&dl=1	MISSING	UP0000-SLUS20940_00-YGOCMCPS2		2109726720	2109726720
SLUS21174	US	Dance Dance Revolution Extreme 2 (PS2CV)	https://www.dropbox.com/scl/fi/rzgi07m5recief6dcca65/Dance-Dance-Revolution-Extreme-2-PS2-Classics-Vault-PS2-Classics-SLUS21174.pkg?rlkey=2dcpol42e11ablb3n8ucb5wld&dl=1	MISSING	UP0000-SLUS21174_00-DDRE2PS2		3944001536	3944001536
SLUS21665	US	The Simpsons Game (PS2CV)	https://www.dropbox.com/scl/fi/mr3hrlqid3aj8hxue2lwa/The-Simpsons-Game-PS2-Classics-Vault-PS2-Classics-SLUS21665.pkg?rlkey=m13eu9q8rt1jn2n9howudd978&dl=1	MISSING	UP0000-SLUS21665_00-TSGPS2		3810258944	3810258944
SLUS20772	US	SSX 3 (PS2CV)	https://www.dropbox.com/scl/fi/odrug2agrndwxm6oqsze8/SSX-3-PS2-Classics-Vault-PS2-Classics-SLUS20772.pkg?rlkey=nknl4owamzadt5h5qe2leh49s&dl=1	MISSING	UP0000-SLUS20772_00-SSX3PS2		3035136000	3035136000
SLUS21864	US	Disney-Pixar's - Up (PS2CV)	https://www.dropbox.com/scl/fi/0dg0gho5z3mcz8ys8vs3w/Disney-Pixar-s-Up-PS2-Classics-Vault-PS2-Classics-SLUS21864.pkg?rlkey=rd16l6g41vfwq6ps4t4b6ohor&dl=1	MISSING	UP0000-SLUS21864_00-UPPS2		1469468672	1469468672
SLUS20745	US	Shrek 2  (PS2CV)	https://www.dropbox.com/scl/fi/l79fl23g4u77ez5k6rxmm/Shrek-2-PS2-Classics-Vault-PS2-Classics-SLUS20745.pkg?rlkey=2v5b5v7jlppb0cr68ts73irci&dl=1	MISSING	UP0000-SLUS20745_00-SHREK2PS2		1293320192	1293320192
SLUS21137	US	Tom Clancy's Splinter Cell 3 - Chaos Theory  (PS2CV)	https://www.dropbox.com/scl/fi/uclv385gdwv6uwmd5vw0c/Tom-Clancy-s-Splinter-Cell-3-Chaos-Theory-PS2-Classics-Vault-PS2-Classics-SLUS21137.pkg?rlkey=tz9v9cdeo2cqbzw3hzhqns5mk&dl=1	MISSING	UP0000-SLUS21137_00-TCSPLINTERCELLCTPS2		4465299456	4465299456
SLUS20788	US	Ford Racing 2  (PS2CV)	https://www.dropbox.com/scl/fi/umk86ykcrw5p1xrfnhs4y/Ford-Racing-2-PS2-Classics-Vault-PS2-Classics-SLUS20788.pkg?rlkey=o47m6n0btk5fhxxfwuqz1o7r1&dl=1	MISSING	UP0000-SLUS20788_00-007FORDRACING2PS2		742211584	742211584
SLUS20604	US	MTV's Celebrity Deathmatch  (PS2CV)	https://www.dropbox.com/scl/fi/sbhgkslle3xodi4rya0f3/MTV-s-Celebrity-Deathmatch-PS2-Classics-Vault-PS2-Classics-SLUS20604.pkg?rlkey=n08mptcqclim1ihcsj066ky3r&dl=1	MISSING	UP0000-SLUS20604_00-007MTVSCELEBDEATHMATCHPS2		3651190784	3651190784
SLUS20751	US	James Bond 007 - Everything or Nothing (PS2CV)	https://www.dropbox.com/scl/fi/0q4cmw4c8wll3ar5xzzry/James-Bond-007-Everything-or-Nothing-PS2-Classics-Vault-PS2-Classics-SLUS20751.pkg?rlkey=k25gu3lvb1nm1pnol50iocl3k&dl=1	MISSING	UP0000-SLUS20751_00-007EVERYTHINGORNOTHINGPS2		3521847296	3521847296
