Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB90116	EU	METAL GEAR SOLID 4 (DEMO) VERSION	http://zeus.dl.playstation.net/cdn/EP0101/NPEB90116_00/PvcOtortBey62KMqvp85TciNkcfUvtx7QoP99dvntgOIQMbJ9kPbbhGjKq3On8DHTN5DlXwl24puSX0klVDPy9e5Jbkvlmm4vQYyf.pkg	NOT REQUIRED	EP0101-NPEB90116_00-MGS4DEMOVERSION0			1458597952	
NPEB90006	EU	THE DARKNESS (DEMO)	http://zeus.dl.playstation.net/cdn/EP1001/NPEB90006_00/PY1uIMFcTECRBqCmydXVjg1NcY2I2sduTPnPvuCW70CeeniebydOCjuqbk9f4Jym878qMoC7nTqPaKEFMoqW8hX5TXHIbDTsIUNU7.pkg	9da02c6a1172028004ae69c16ecd77d0	EP1001-NPEB90006_00-THEDARKNESSDEMO0	2019-07-29 13:13:33		1513069488	
NPEB90048	EU	Burnout Paradise (DEMO)	http://zeus.dl.playstation.net/cdn/EP0006/NPEB90048_00/d24VoMPIgVtc3p0bJ1FPF4JlyTOtPu5Smf0XaYpNQbgIs687DQEsVyeySSSkuBIuYWVnxOwsvNmvbA6SvegylQAWyr20wmRV0prb2.pkg	MISSING	EP0006-NPEB90048_00-BURNOUTPADEMO100			850294448	
NPUA70045	US	LittleBigPlanet™ Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70045_00/nyHPcRea86ACLpAoiWFQpWDXrtTeCxNgCcE3V4Qr4Y1oKs2fClt9SQvWWxT6YVw3JigDe7hQC6USiDJ9u11aRPQxANXLM6M86SYvD.pkg	NOT REQUIRED	UP9000-NPUA70045_00-DLITTLEBIG000001	2019-04-03 12:16:36		1122232512	
NPUA70046	US	inFAMOUS Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70046_00/9XTKhOvnJXw3iVUaRtoVh2GIxtsEnvphgTyOWCoPHJj7iU0I2GtvppIpsVWRcUbauQm2cSPHLePMaDCFq6lKoQhYWwXgodIhxtkQP.pkg	NOT REQUIRED	UP9000-NPUA70046_00-DEMOSHIP04171417	2019-04-03 12:16:36		1239825616	
NPUA70192	US	Twisted Metal® Multiplayer Demo	http://ares.dl.playstation.net/cdn/UP9000/NPUA70192_00/tkhpcmvQyuvJMFvmMrfMGqOyWtyJbJYNsWlOaTydRvCUNLToWtJAfQJTEnNUxwDFKkUPlUtPiknYzfxklblSPArNCEFlaUMiGSVWL.pkg	NOT REQUIRED	UP9000-NPUA70192_00-TWISTEDMETALDEMO	2019-04-03 12:16:36		1599504608	
NPUA70246	US	PlayStation® All-Stars Battle Royale™ Beta	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70246_00/yBcorGHrfxxLlmldPSiitPkQbrgyyMgWZgrrwIRFvdwOneNRvtCIBQLCovEbSTlAJteVNNZgyOlSRyKUKgtPZBilaxTgdlmUtErcd.pkg	NOT REQUIRED	UP9000-NPUA70246_00-PABRPB5PS3000000	2021-04-29 17:25:59		1110008528	
NPUA80016	US	Resistance: Fall of Man™ Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80016_00/m4Sv3GSGE9FLWUgBidvp9QJrbGeg3Fn2CMEgpR5mAvdNpGy7VwhYC24wQ0DKayDbFdAlJTqqQlHBX20wVFXsxAWPPPExqN6RcuPbK.pkg	NOT REQUIRED	UP9000-NPUA80016_00-RESISTANCE000001	2019-04-03 12:16:36		907772032	
NPUA80160	US	PixelJunk™ Eden Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80160_00/aOiHeMjX4pIS6NRVjgiQRRxIMUPrUNQG39tRQsk7mwvYtVKFX4isTegGpSTYpuLFAlcPSS2iXNGP3XMoRqA5KNhUvjcACf8YShuPA.pkg	NOT REQUIRED	UP9000-NPUA80160_00-PIXJEDENDEMO0001	2019-04-03 12:16:36		112028576	
NPUB30321	US	Galaga® Legions DX Demo	http://ares.dl.playstation.net/cdn/UP0700/NPUB30321_00/IyPuZUETGHvDwvVlpPlQwFejwWlsPzrMtuRUdOpMLPneyMvIyzBPaFWkwRixJbKUJFHaZPEbhzQDIrzwqjSTeMesVcVZIHdkGMwZp.pkg	NOT REQUIRED	UP0700-NPUB30321_00-GLLDX00001DEMONA	2019-04-03 12:16:36		140509664	
NPUB30384	US	BurgerTime World Tour Demo	http://ares.dl.playstation.net/cdn/UP2039/NPUB30384_00/UWVgRifebvLrsNRIpeacllvxLnQUCuHPcTWAFOXOVpHSiRhbkvGMqMPUPpQFWlxcPDvzQPuasuJwoiXeazrQYMobegJYLMjuHedyG.pkg	NOT REQUIRED	UP2039-NPUB30384_00-BURGERTIMEWTDEMO	2019-04-03 12:16:36		362726240	
